,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
21,21,2024-12-20,2011-08-13,"Boston, MA",within a few hours,100%,69%,t,Jamaica Plain,1,2,"['email', 'phone']",t,Neighborhood highlights,Jamaica Plain,,42.31331,-71.12061,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Clothing storage"", ""Hammock"", ""Coffee maker"", ""Hangers"", ""Lake access"", ""Exercise equipment: free weights"", ""Stove"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Long term stays allowed"", ""Wine glasses"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Books and reading material"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Cleaning available during stay"", ""Ceiling fan"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Blender"", ""Iron"", ""Private patio or balcony"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Free dryer \u2013 In building""]",$56.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,8,8,35,2024-12-20,62,5,1,2011-09-24,2024-11-23,4.97,4.95,5.0,4.98,4.9,4.93
23,23,2024-12-20,2010-05-05,"Boston, MA",within a few hours,100%,77%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.29871,-71.05954,Private room in home,Private room,2,1.5,3.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Hot water"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Cooking basics""]",$68.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,29,59,89,2024-12-20,217,2,0,2011-09-02,2024-10-08,4.45,4.61,4.63,4.62,4.24,4.45
25,25,2024-12-20,2011-09-11,"Boston, MA",within an hour,100%,97%,t,North End,1,1,"['email', 'phone', 'work_email']",t,Neighborhood highlights,North End,,42.36614,-71.05226,Private room in townhouse,Private room,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Shower gel"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Fast wifi \u2013 74 Mbps"", ""Small dorm fridge refrigerator"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Essentials"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Window AC unit"", ""Books and reading material"", ""Clothing storage: wardrobe"", ""Shared patio or balcony"", ""First aid kit"", ""Bed linens"", ""Hair dryer"", ""Shampoo"", ""Iron"", ""Hot water""]",$225.00,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,0,9,2024-12-20,346,23,0,2011-10-01,2024-11-11,4.93,4.92,4.95,4.99,4.98,4.84
27,27,2024-12-20,2011-12-26,"Boston, MA",within an hour,100%,95%,f,South Boston,1,3,"['email', 'phone', 'work_email']",t,Neighborhood highlights,South Boston,,42.33583,-71.05271,Entire home,Entire home/apt,4,1.0,2.0,2.0,"[""Smoke alarm"", ""Central air conditioning"", ""Conditioner"", ""Coffee maker"", ""Hangers"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Private backyard \u2013 Fully fenced"", ""Bathtub"", ""Fire extinguisher"", ""Room-darkening shades"", ""Essentials"", ""Long term stays allowed"", ""57 inch TV with Apple TV"", ""Dedicated workspace"", ""Cooking basics"", ""GE oven"", ""Hot water kettle"", ""GE gas stove"", ""Dining table"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Coffee"", ""Smart lock"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Ceiling fan"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Clothing storage: closet, wardrobe, and dresser"", ""Dishes and silverware"", ""Pets allowed"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$190.00,3,150,3.0,3.0,150.0,150.0,3.0,150.0,,t,28,58,88,2024-12-20,67,14,1,2012-02-15,2024-12-01,4.58,4.37,4.7,4.85,4.39,4.31
29,29,2024-12-20,2010-05-05,"Boston, MA",within a few hours,100%,77%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.29871,-71.05954,Private room in home,Private room,1,0.5,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Hot tub"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Washer"", ""Shampoo"", ""Iron"", ""Hot water""]",$44.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,2024-12-20,101,32,1,2012-08-11,2024-11-24,4.6,4.54,4.74,4.71,4.25,4.51
31,31,2024-12-20,2012-03-18,"Boston, MA",,,,f,Jamaica Plain,1,4,"['email', 'phone']",t,,Jamaica Plain,,42.31062,-71.1176,Private room in home,Private room,2,,,,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Free parking on premises"", ""Essentials"", ""Washer"", ""Indoor fireplace"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm""]",,91,120,91.0,91.0,120.0,120.0,91.0,120.0,,t,0,0,0,2024-12-20,16,0,0,2013-09-15,2016-06-26,4.93,4.81,4.75,5.0,4.94,4.75
33,33,2024-12-20,2010-01-19,"Boston, MA",within a day,100%,97%,f,Dorchester,39,75,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.31368,-71.0612,Entire home,Entire home/apt,9,2.0,5.0,5.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Lockbox"", ""Carbon monoxide alarm"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace"", ""High chair"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$200.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,2024-12-20,65,0,0,2012-11-11,2019-10-29,4.4,4.67,4.8,4.59,4.54,4.59
35,35,2024-12-20,2010-01-19,"Boston, MA",within a day,100%,97%,f,Dorchester,39,75,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.32212,-71.06095,Entire rental unit,Entire home/apt,5,1.0,3.0,2.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$145.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,7,2024-12-20,58,0,0,2012-08-26,2023-08-14,4.43,4.64,4.66,4.47,4.29,4.52
37,37,2024-12-20,2010-01-19,"Boston, MA",within a day,100%,97%,f,Dorchester,39,75,"['email', 'phone', 'work_email']",t,,West Roxbury,,42.29061,-71.15293,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker: drip coffee maker"", ""Rice maker"", ""Hangers"", ""Gas stove"", ""Indoor fireplace: wood-burning"", ""Body soap"", ""Freezer"", ""Carbon monoxide alarm"", ""Oven"", ""Bathtub"", ""Dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Air conditioning"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Wine glasses"", ""Portable fans"", ""Cooking basics"", ""Hot water kettle"", ""Dining table"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""Housekeeping available from 9:00\u202fAM to 5:00\u202fPM, Monday to Friday - available at extra cost"", ""Bed linens"", ""55 inch HDTV"", ""Ceiling fan"", ""Paid parking lot on premises \u2013 1 space"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$200.00,30,180,30.0,30.0,180.0,180.0,30.0,180.0,,t,23,53,83,2024-12-20,0,0,0,,,,,,,,
39,39,2024-12-20,2012-07-23,,within an hour,100%,100%,t,Charlestown,18,21,"['email', 'phone']",f,Neighborhood highlights,Charlestown,,42.37579,-71.04981,Boat,Entire home/apt,6,1.0,1.0,4.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Bay view"", ""TV"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""City skyline view"", ""Marina view"", ""Heating"", ""Cooking basics"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Kitchen"", ""Paid parking on premises"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Patio or balcony"", ""Harbor view"", ""Iron"", ""Toaster"", ""Hot water""]",$168.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,21,51,81,2024-12-20,123,27,1,2016-09-15,2024-12-01,4.81,4.85,4.79,4.87,4.85,4.63
