Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4124,2024-12-20,2015-06-21,"Boston, MA",within a few hours,100%,100%,f,Dorchester,1,1,"['email', 'phone', 'work_email']",t,,Dorchester,,42.28674926398643,-71.06844449366969,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Body soap"", ""Shower gel"", ""TV"", ""Freezer"", ""Carbon monoxide alarm"", ""Oven"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Coffee"", ""Smart lock"", ""Bed linens"", ""Hot water"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Blender"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Conditioner"", ""Free dryer \u2013 In building""]",$110.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,,t,15,42,66,2024-12-20,5,5,2,2024-10-30,2024-11-27,5.0,5.0,5.0,5.0,5.0,5.0
4126,2024-12-20,2023-10-14,"Boston, MA",within an hour,100%,97%,t,Dorchester,9,9,['phone'],t,,Dorchester,,42.32268910801122,-71.05858087970618,Private room in rental unit,Private room,3,2.5,1.0,1.0,"[""Smoke alarm"", ""Conditioner"", ""Hangers"", ""Stove"", ""Body soap"", ""Shower gel"", ""TV"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Oven"", ""Lock on bedroom door"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Keypad"", ""Essentials"", ""Single level home"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Breakfast"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Cleaning available during stay"", ""Kitchen"", ""Noise decibel monitors on property"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Hot water""]",$68.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,24,54,81,2024-12-20,8,8,2,2024-09-11,2024-12-05,5.0,5.0,5.0,4.88,4.88,5.0
4143,2024-12-20,2015-05-19,"Boston, MA",within an hour,100%,97%,t,Dorchester,2,4,"['email', 'phone']",t,,Dorchester,,42.30218,-71.0624,Private room in home,Private room,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Clothing storage"", ""Hangers"", ""Radiant heating"", ""Body soap"", ""Freezer"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Oven"", ""Fire extinguisher"", ""Wine glasses"", ""Window AC unit"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""60 inch TV with Fire TV, Roku"", ""First aid kit"", ""Hot water"", ""Kitchen"", ""Hair dryer"", ""Dishes and silverware"", ""Shampoo"", ""Iron"", ""Cooking basics""]",$46.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,,t,18,33,52,2024-12-20,12,12,1,2024-09-21,2024-11-25,4.67,4.67,4.83,4.83,4.58,4.33
4147,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Dorchester,,42.31345,-71.0558,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,"[""Smoke alarm"", ""Clothing storage"", ""Conditioner"", ""Hangers"", ""TV"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Coffee maker: Keurig coffee machine"", ""Safe"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Crib"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Noise decibel monitors on property"", ""Refrigerator"", ""Hair dryer"", ""Trash compactor"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Backyard"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$251.00,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,28,58,88,2024-12-20,1,1,0,2024-10-22,2024-10-22,5.0,5.0,5.0,5.0,5.0,5.0
4151,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Dorchester,,42.31384,-71.05528,Entire rental unit,Entire home/apt,9,2.0,3.0,4.0,"[""Smoke alarm"", ""Heating"", ""Dedicated workspace"", ""Kitchen"", ""Noise decibel monitors on property"", ""Hair dryer"", ""Crib"", ""First aid kit"", ""Exterior security cameras on property"", ""Self check-in"", ""Keypad"", ""Washer"", ""Air conditioning"", ""TV"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics""]",$246.00,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,20,50,80,2024-12-20,3,3,0,2024-10-11,2024-11-17,5.0,5.0,5.0,4.67,5.0,5.0
4153,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Dorchester,,42.31178,-71.05682,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,"[""Smoke alarm"", ""Clothing storage"", ""Conditioner"", ""Hangers"", ""TV"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Coffee maker: Keurig coffee machine"", ""Safe"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Crib"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Noise decibel monitors on property"", ""Refrigerator"", ""Hair dryer"", ""Trash compactor"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Backyard"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$238.00,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,30,60,90,2024-12-20,4,4,0,2024-09-30,2024-11-10,4.0,4.0,4.5,4.5,4.75,4.25
4166,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Jamaica Plain,,42.32041,-71.1032,Entire rental unit,Entire home/apt,10,2.0,4.0,5.0,"[""Smoke alarm"", ""Hangers"", ""Board games"", ""Stove"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Oven"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Long term stays allowed"", ""Children's playroom"", ""Coffee maker: Keurig coffee machine"", ""Safe"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""Hot water"", ""First aid kit"", ""Self check-in"", ""Crib - available upon request"", ""Kitchen"", ""Noise decibel monitors on property"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Trash compactor"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Conditioner"", ""Private entrance""]",$299.00,2,365,2.0,5.0,1125.0,1125.0,4.3,1125.0,,t,23,53,83,2024-12-20,11,11,3,2024-10-06,2024-12-15,5.0,5.0,5.0,4.91,4.82,4.82
4167,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Jamaica Plain,,42.32224,-71.10319,Entire rental unit,Entire home/apt,8,2.0,3.0,2.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Conditioner"", ""Hangers"", ""Stove"", ""TV"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Safe"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Crib"", ""Exterior security cameras on property"", ""Dining table"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Noise decibel monitors on property"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Trash compactor"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$269.00,2,365,2.0,4.0,1125.0,1125.0,3.0,1125.0,,t,20,50,80,2024-12-20,6,6,0,2024-10-02,2024-11-11,4.83,5.0,4.83,4.83,4.83,5.0
4181,2024-12-20,2022-08-04,,within an hour,100%,99%,,Dorchester,13,14,"['email', 'phone']",f,,Dorchester,,42.31435,-71.05814,Entire rental unit,Entire home/apt,16,2.0,5.0,9.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Hangers"", ""Board games"", ""TV"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Dryer"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Stainless steel gas stove"", ""Exterior security cameras on property"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""Hot water"", ""First aid kit"", ""Self check-in"", ""Crib - available upon request"", ""Kitchen"", ""Noise decibel monitors on property"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Stainless steel oven"", ""Trash compactor"", ""Dishes and silverware"", ""Free parking on premises"", ""Washer"", ""Pets allowed"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Conditioner"", ""Private entrance""]",$452.00,2,365,2.0,4.0,1125.0,1125.0,2.0,1125.0,,t,25,49,75,2024-12-20,5,5,1,2024-10-14,2024-12-03,5.0,5.0,5.0,5.0,4.8,5.0
4191,2024-12-20,2019-06-09,"Boston, MA",within a few hours,75%,82%,f,Dorchester,1,2,"['email', 'phone']",t,,Dorchester,,42.29410437151462,-71.0651422234463,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Kitchen"", ""Outdoor dining area"", ""Free parking on premises"", ""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Carbon monoxide alarm""]",$190.00,2,7,2.0,2.0,7.0,7.0,2.0,7.0,,t,30,60,90,2024-12-20,0,0,0,,,,,,,,
