,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2400,2400,2024-12-20,2018-08-29,"Boston, MA",within an hour,100%,98%,f,Theater District,162,226,"['email', 'phone']",t,,East Boston,,42.38625,-71.00575,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Body soap"", ""TV"", ""Freezer"", ""Oven"", ""Dryer"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Hot water kettle"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Hot water"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Conditioner""]",$98.00,29,365,29.0,29.0,365.0,365.0,29.0,365.0,,t,18,36,66,2024-12-20,84,0,0,2022-09-11,2023-12-04,4.64,4.8,4.68,4.74,4.45,4.61
2600,2600,2024-12-20,2012-05-12,"Boston, MA",within an hour,84%,99%,f,Beacon Hill,73,135,"['email', 'phone']",t,Neighborhood highlights,South Boston,,42.33356815198421,-71.03459422733098,Private room in rental unit,Private room,2,,1.0,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Oven"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Dining table"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",,29,1125,29.0,29.0,29.0,1125.0,29.0,769.0,,t,30,60,90,2024-12-20,2,1,0,2023-04-18,2023-12-23,4.0,4.0,3.0,5.0,5.0,4.0
2800,2800,2024-12-20,2022-12-26,,within an hour,100%,99%,f,Cambridgeport,16,17,"['email', 'phone']",t,,Charlestown,,42.37208846607587,-71.06310994800023,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""River view"", ""Smoke alarm"", ""Conditioner"", ""Coffee maker"", ""Hangers"", ""Induction stove"", ""Paid washer \u2013 In building"", ""Body soap"", ""Shower gel"", ""Lockbox"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Oven"", ""Room-darkening shades"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""City skyline view"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Portable fans"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Outdoor dining area"", ""Dining table"", ""Shared patio or balcony"", ""Wifi"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Waterfront"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Toaster"", ""Hot water"", ""Private entrance""]",$124.00,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,29,59,89,2024-12-20,4,3,0,2023-07-09,2024-07-31,3.25,3.75,4.25,3.75,4.75,3.25
3000,3000,2024-12-20,2017-11-29,"Boston, MA",within an hour,90%,90%,t,Brighton,2,2,"['email', 'phone']",f,,Brighton,,42.34524270793829,-71.15029424465831,Entire home,Entire home/apt,4,1.0,2.0,2.0,"[""Smoke alarm"", ""Hangers"", ""Board games"", ""Radiant heating"", ""Free driveway parking on premises \u2013 1 space"", ""Body soap"", ""TV"", ""Electric stove"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Oven"", ""Fire extinguisher"", ""Room-darkening shades"", ""Keypad"", ""Essentials"", ""Lg refrigerator"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Dedicated workspace"", ""Cooking basics"", ""Baby safety gates"", ""Baby bath - available upon request"", ""Hot water kettle"", ""Dining table"", ""Pack \u2019n play/Travel crib - available upon request"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Cleaning available during stay"", ""Kitchen"", ""Hair dryer"", ""Standalone high chair - available upon request"", ""Dishes and silverware"", ""Clothing storage: closet and dresser"", ""Iron"", ""Hot water""]",$170.00,2,365,1.0,3.0,365.0,365.0,2.2,365.0,,t,12,12,12,2024-12-20,16,15,1,2023-12-10,2024-12-02,4.94,4.94,5.0,4.88,4.94,4.88
3200,3200,2024-12-20,2019-07-25,"Savannah, GA",within an hour,100%,100%,f,Midtown,8,32,"['email', 'phone']",t,Neighborhood highlights,Jamaica Plain,,42.3094211,-71.1026608,Entire condo,Entire home/apt,7,2.0,3.0,4.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""TV"", ""Shower gel"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$324.00,30,1125,2.0,30.0,1125.0,1125.0,6.9,1125.0,,t,12,34,64,2024-12-20,24,22,2,2023-12-04,2024-12-03,4.75,4.63,4.92,4.92,4.5,4.5
3400,3400,2024-12-20,2013-10-13,"Boston, MA",within an hour,100%,100%,,Back Bay,20,53,"['email', 'phone']",f,Neighborhood highlights,Beacon Hill,,42.360274242955406,-71.0700590179641,Entire rental unit,Entire home/apt,5,1.5,2.0,2.0,"[""Smoke alarm"", ""Conditioner"", ""Hangers"", ""Radiant heating"", ""Body soap"", ""Shower gel"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Essentials"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Paid parking garage off premises"", ""AC - split type ductless system"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Free dryer \u2013 In building"", ""Stainless steel single oven"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Stainless steel gas stove"", ""Exterior security cameras on property"", ""Dining table"", ""Wifi"", ""Microwave"", ""Coffee"", ""Smart lock"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In building"", ""Heating - split type ductless system"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""55 inch HDTV with standard cable""]",$800.00,10,365,3.0,10.0,1125.0,1125.0,8.9,1125.0,,t,18,48,78,2024-12-20,29,28,1,2023-12-11,2024-12-01,4.97,4.97,5.0,5.0,5.0,4.69
3600,3600,2024-12-20,2024-01-11,,within an hour,100%,98%,f,Downtown,7,15,"['email', 'phone']",t,,Downtown,,42.3575,-71.05286,Room in hotel,Private room,2,1.0,1.0,,"[""Heating"", ""Dedicated workspace"", ""Paid parking on premises"", ""Gym"", ""Essentials"", ""Air conditioning"", ""TV"", ""Shampoo"", ""Wifi"", ""Iron"", ""Luggage dropoff allowed"", ""Hot water""]",$145.00,1,365,1.0,1.0,28.0,731.0,1.0,674.4,,t,9,9,10,2024-12-20,7,7,0,2024-03-31,2024-09-21,4.43,5.0,5.0,4.57,5.0,5.0
3800,3800,2024-12-20,2023-02-20,,within an hour,99%,87%,f,Gateway District,3011,5606,"['email', 'phone']",t,Neighborhood highlights,Bay Village,,42.35042,-71.06731,Room in hotel,Hotel room,12,3.0,3.0,6.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Gym"", ""TV"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Building staff"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Crib"", ""Wifi"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Paid parking on premises"", ""Refrigerator"", ""Hair dryer"", ""Pets allowed"", ""Patio or balcony"", ""Shampoo""]",$402.00,1,1125,1.0,1.0,1.0,1125.0,1.0,51.2,,t,30,60,90,2024-12-20,0,0,0,,,,,,,,
4000,4000,2024-12-20,2012-03-28,"Boston, MA",within an hour,100%,80%,f,Columbus Park / Andrew Square,1,3,"['email', 'phone']",t,,South Boston,,42.33387,-71.05094,Entire home,Entire home/apt,8,2.0,4.0,4.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Drying rack for clothing"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Window AC unit"", ""Outdoor dining area"", ""Books and reading material"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""Hot water"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Free parking on premises"", ""Barbecue utensils"", ""Dishes and silverware"", ""Washer"", ""BBQ grill"", ""Shampoo"", ""Blender"", ""Piano"", ""Private patio or balcony"", ""Dishwasher"", ""Conditioner""]",$735.00,2,365,2.0,4.0,365.0,365.0,2.0,365.0,,t,15,24,25,2024-12-20,10,10,1,2024-08-25,2024-12-01,5.0,5.0,5.0,5.0,5.0,4.8
4200,4200,2024-12-20,2020-01-27,,within an hour,100%,91%,f,Downtown,2,4,"['email', 'phone']",t,Neighborhood highlights,Downtown,,42.3550474,-71.0622106,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""TV"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Hot water""]",$104.00,1,365,1.0,4.0,365.0,365.0,1.9,365.0,,t,29,59,89,2024-12-20,3,3,1,2024-11-03,2024-11-24,3.0,4.0,3.67,3.33,5.0,3.33
4400,4400,2024-12-20,2018-01-22,"Boston, MA",within an hour,100%,100%,f,Jamaica Plain,2,3,"['email', 'phone']",t,,Jamaica Plain,,42.32517,-71.10615,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Kitchen"", ""Fire extinguisher"", ""First aid kit"", ""Air conditioning"", ""Wifi"", ""Carbon monoxide alarm""]",$50.00,29,93,29.0,29.0,93.0,93.0,29.0,93.0,,t,30,43,43,2024-12-20,0,0,0,,,,,,,,
