,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
78,78,2024-12-20,2013-09-14,"Massachusetts, United States",within a day,100%,100.0,f,Roslindale,2,2,"['email', 'phone']",t,Neighborhood highlights,Roslindale,,42.28132,-71.13377,Private room in home,Private room,1,,,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Shampoo"", ""Backyard"", ""Iron"", ""Dishwasher"", ""Hot water""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,2024-12-20,38,0,0,2013-10-21,2022-02-26,4.79,4.82,4.87,4.95,4.74,4.74
83,83,2024-12-20,2013-09-27,"Boston, MA",within an hour,100%,100.0,f,Dorchester,1,1,"['email', 'phone']",t,Neighborhood highlights,Dorchester,,42.29009,-71.05762,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Lockbox"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Breakfast"", ""Heating"", ""Shared backyard \u2013 Not fully fenced"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",$60.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,22,52,82,2024-12-20,187,8,0,2013-10-08,2024-10-27,4.89,4.93,4.98,5.0,4.69,4.79
84,84,2024-12-20,2013-09-14,"Massachusetts, United States",within a day,100%,100.0,f,Roslindale,2,2,"['email', 'phone']",t,Neighborhood highlights,Roslindale,,42.28127,-71.13304,Private room in home,Private room,2,,,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Window AC unit"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Shampoo"", ""Backyard"", ""Iron"", ""Dishwasher"", ""Hot water""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,2024-12-20,47,1,0,2013-11-02,2024-07-28,4.81,4.91,4.91,4.98,4.7,4.8
90,90,2024-12-20,2011-12-20,"New York, NY",within an hour,100%,100.0,f,Allston-Brighton,2,3,"['email', 'phone']",t,Neighborhood highlights,Brighton,,42.34245,-71.15758,Private room in home,Private room,2,,1.0,,"[""Smoke alarm"", ""Hangers"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Hot water kettle"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Ceiling fan"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Shampoo"", ""Iron"", ""Hot water""]",,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,28,43,66,2024-12-20,339,30,1,2014-06-21,2024-12-07,4.69,4.74,4.88,4.77,4.72,4.68
103,103,2024-12-20,2012-08-02,"Boston, MA",within an hour,100%,100.0,f,Beacon Hill,2,13,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Downtown,,42.35702,-71.06168,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Lockbox"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Children\u2019s books and toys"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""City skyline view"", ""Heating"", ""Cooking basics"", ""Crib"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",$130.00,91,1124,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,0,0,0,2024-12-20,36,0,0,2014-06-15,2020-11-25,4.67,4.72,4.78,4.78,5.0,4.69
109,109,2024-12-20,2013-06-12,"Boston, MA",within an hour,100%,100.0,f,Beacon Hill,2,3,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Beacon Hill,,42.35902,-71.06296,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Heating"", ""Coffee maker"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""TV with standard cable"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Iron"", ""Carbon monoxide alarm""]",$150.00,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,,t,0,0,0,2024-12-20,99,0,0,2014-06-25,2018-10-10,4.87,4.95,4.99,4.97,5.0,4.75
119,119,2024-12-20,2013-05-03,"Boston, MA",,,100.0,f,Allston-Brighton,1,1,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Brighton,,42.35564,-71.15746,Entire home,Entire home/apt,8,,3.0,,"[""Smoke alarm"", ""Ethernet connection"", ""Conditioner"", ""Coffee maker"", ""Rice maker"", ""Private backyard \u2013 Not fully fenced"", ""Hangers"", ""Board games"", ""Stove"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bikes"", ""Bathtub"", ""Outlet covers"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Essentials"", ""Beach essentials"", ""Keypad"", ""AC - split type ductless system"", ""Wine glasses"", ""EV charger"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Fast wifi \u2013 200 Mbps"", ""Children\u2019s dinnerware"", ""Dining table"", ""Outdoor dining area"", ""Bidet"", ""Fire pit"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Free washer \u2013 In unit"", ""40 inch HDTV with Disney+, Amazon Prime Video, HBO Max, Netflix"", ""Ceiling fan"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Free parking on premises"", ""Record player"", ""Dishes and silverware"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Piano"", ""Baking sheet"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,2024-12-20,55,2,0,2014-08-04,2024-06-26,4.96,4.96,5.0,4.98,4.81,4.91
123,123,2024-12-20,2010-01-19,"Boston, MA",within a day,100%,97.0,f,Dorchester,39,75,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.32213,-71.06094,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$145.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,3,3,3,2024-12-20,31,0,0,2014-10-17,2019-06-13,4.39,4.87,4.42,4.61,4.32,4.61
127,127,2024-12-20,2014-07-22,"Boston, MA",,,100.0,f,West Roxbury,1,1,"['email', 'phone']",t,,West Roxbury,,42.27242,-71.16573,Entire loft,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Clothing storage"", ""Hammock"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Body soap"", ""TV"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Oven"", ""Bathtub"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Drying rack for clothing"", ""Wine glasses"", ""Cooking basics"", ""Hot water kettle"", ""Outdoor dining area"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Ceiling fan"", ""Heating - split type ductless system"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Patio or balcony"", ""Outdoor furniture"", ""Shampoo"", ""Blender"", ""Iron"", ""Backyard"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$164.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,0,0,0,2024-12-20,6,6,0,2024-06-02,2024-08-05,4.83,5.0,5.0,5.0,5.0,5.0
129,129,2024-12-20,2014-08-02,"Boston, MA",within an hour,100%,100.0,f,Beacon Hill,1,2,"['email', 'phone']",t,Neighborhood highlights,Beacon Hill,,42.35792,-71.06432,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Smoke alarm"", ""Conditioner"", ""Hangers"", ""Gas stove"", ""Lockbox"", ""Body soap"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Pack \u2019n play/Travel crib"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""47 inch HDTV with Roku"", ""Safe"", ""Heating"", ""Cooking basics"", ""Hot water kettle"", ""Window AC unit"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$125.00,29,365,29.0,29.0,365.0,365.0,29.0,365.0,,t,30,60,90,2024-12-20,253,0,0,2014-09-10,2023-08-01,4.91,4.95,4.96,4.97,4.98,4.78
