,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
30,30,2024-12-20,2012-04-02,"Boston, MA",within a few hours,100%,92.0,t,Jamaica Plain,1,1,"['email', 'phone']",t,Neighborhood highlights,Jamaica Plain,,42.31658,-71.11012,Private room in home,Private room,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Private backyard \u2013 Not fully fenced"", ""Central air conditioning"", ""Hangers"", ""TV"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Oven"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""Heating"", ""Outdoor dining area"", ""Dining table"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi"", ""First aid kit"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Hot water""]",80.0,5,90,5.0,5.0,90.0,90.0,5.0,90.0,,t,18,34,64,2024-12-20,415,24,0,2012-06-23,2024-11-18,4.84,4.83,4.97,4.97,4.87,4.84
31,31,2024-12-20,2012-03-18,"Boston, MA",,,,f,Jamaica Plain,1,4,"['email', 'phone']",t,,Jamaica Plain,,42.31062,-71.1176,Private room in home,Private room,2,,,,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Free parking on premises"", ""Essentials"", ""Washer"", ""Indoor fireplace"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm""]",,91,120,91.0,91.0,120.0,120.0,91.0,120.0,,t,0,0,0,2024-12-20,16,0,0,2013-09-15,2016-06-26,4.93,4.81,4.75,5.0,4.94,4.75
41,41,2024-12-20,2012-08-12,"Boston, MA",within an hour,100%,0.0,f,South Boston,1,1,"['email', 'phone']",t,Neighborhood highlights,South Boston,,42.33451,-71.04983,Private room in townhouse,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Essentials"", ""Air conditioning"", ""Breakfast"", ""Heating"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Backyard"", ""Iron"", ""Hot water""]",213.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,,t,23,53,83,2024-12-20,8,0,0,2016-06-18,2022-05-30,5.0,5.0,5.0,5.0,4.88,4.75
44,44,2024-12-20,2012-10-22,"Boston, MA",within an hour,100%,100.0,t,Jamaica Plain,6,7,"['email', 'phone']",t,Neighborhood highlights,Jamaica Plain,,42.30733,-71.11129,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Conditioner"", ""Coffee maker"", ""Hangers"", ""Paid washer \u2013 In building"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Bathtub"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Essentials"", ""Air conditioning"", ""Paid dryer \u2013 In building"", ""Small dorm refrigerator dedicated to guest use.  refrigerator"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Hot water kettle"", ""Outdoor dining area"", ""Dining table"", ""Bidet"", ""Shared backyard \u2013 Not fully fenced"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""Mini fridge"", ""Coffee"", ""Smart lock"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Hair dryer"", ""Dishes and silverware"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water""]",99.0,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,18,48,78,2024-12-20,297,33,1,2013-06-04,2024-12-09,4.89,4.9,4.96,4.97,4.93,4.83
45,45,2024-12-20,2012-10-24,"Boston, MA",within an hour,100%,,f,Roslindale,1,1,"['email', 'phone', 'work_email']",f,Neighborhood highlights,Roslindale,,42.28573,-71.12334,Private room in condo,Private room,2,1.0,1.0,2.0,"[""Smoke alarm"", ""Heating"", ""Coffee maker"", ""Hangers"", ""Hair dryer"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Wifi"", ""Shampoo"", ""Carbon monoxide alarm""]",55.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,30,60,90,2024-12-20,142,0,0,2015-09-10,2019-07-27,4.82,4.91,4.91,4.91,4.68,4.85
51,51,2024-12-20,2013-01-19,"Boston, MA",within an hour,100%,90.0,t,Roslindale,2,3,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Roslindale,,42.29017,-71.13169,Private room in bed and breakfast,Private room,2,1.5,1.0,1.0,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Indoor fireplace: wood-burning"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Breakfast"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Barbecue utensils"", ""Dishes and silverware"", ""Washer"", ""BBQ grill"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Dishwasher"", ""Hot water""]",100.0,29,1124,29.0,29.0,1124.0,1124.0,29.0,1124.0,,t,0,0,0,2024-12-20,63,0,0,2013-10-15,2022-08-30,4.85,4.92,4.92,4.94,4.77,4.87
53,53,2024-12-20,2012-02-16,"Boston, MA",within an hour,100%,100.0,t,Government Center,4,4,"['email', 'phone']",t,Neighborhood highlights,Downtown,,42.359764099121094,-71.06116485595703,Private room in condo,Private room,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Lockbox"", ""Carbon monoxide alarm"", ""Oven"", ""Bathtub"", ""48 inch HDTV with standard cable"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Indoor fireplace"", ""Long term stays allowed"", ""City skyline view"", ""Paid dryer \u2013 In building"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Paid parking on premises"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""Free parking on premises"", ""Dishes and silverware"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",200.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,30,60,90,2024-12-20,61,0,0,2013-09-15,2022-09-11,4.76,4.79,4.69,4.82,4.8,4.66
58,58,2024-12-20,2012-03-21,"Boston, MA",,,,f,Back Bay,1,9,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.34475,-71.08204,Private room in home,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Board games"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Park view"", ""Oven"", ""Lock on bedroom door"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""City skyline view"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Outdoor playground"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Shampoo"", ""Backyard"", ""Iron"", ""Hot water""]",214.0,29,365,29.0,29.0,365.0,365.0,29.0,365.0,,t,29,59,89,2024-12-20,117,0,0,2013-06-07,2019-12-06,4.63,4.63,4.82,4.84,4.98,4.6
66,66,2024-12-20,2010-10-06,"Boston, MA",within an hour,100%,68.0,t,Roxbury,5,6,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Private room in rental unit,Private room,1,,,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Drying rack for clothing"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Books and reading material"", ""Shared backyard \u2013 Not fully fenced"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Free washer \u2013 In building"", ""Ceiling fan"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Outdoor furniture"", ""Iron"", ""Baking sheet"", ""Hot water""]",,29,180,29.0,90.0,180.0,180.0,33.0,180.0,,t,23,53,83,2024-12-20,46,0,0,2013-09-29,2023-12-20,4.83,4.87,4.93,4.89,4.2,4.71
67,67,2024-12-20,2010-10-06,"Boston, MA",within an hour,100%,68.0,t,Roxbury,5,6,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Private room in home,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Rice maker"", ""Hangers"", ""Gas stove"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Oven"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Drying rack for clothing"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Books and reading material"", ""Dining table"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Free washer \u2013 In building"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Iron"", ""Hot water"", ""Private entrance""]",72.0,29,180,29.0,29.0,180.0,180.0,29.0,180.0,,t,2,2,2,2024-12-20,48,3,0,2013-12-23,2024-05-03,4.85,4.83,4.96,4.92,4.29,4.65
